id,user_id,date_logged,total,category_breakdown
04a0da50-97ce-4481-ac41-907180abe490,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-20 00:00:00+00,0,{}
05e2650d-bbd9-4579-a9ee-531834cd220b,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-10-01 00:00:00+00,9.21,"{""travel"":0.185,""lifestyle"":4.338,""food-drink"":0.861,""energy-home"":3.827}"
062c3802-f5b8-4d8e-a6bf-bc97f5746e9d,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-10 00:00:00+00,0,{}
08d709d6-b241-4e2a-940e-6646e7e14b30,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-24 00:00:00+00,12.9799995422363,"{""lifestyle"":12.98}"
1ea27fea-e65c-436b-9832-42625fd8b2fe,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-27 00:00:00+00,0,{}
21324318-75ba-44cf-ab64-1b4b4819f5de,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-12 00:00:00+00,0,{}
34beb4e3-2239-4098-a556-ee7d6fc9dd07,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-17 00:00:00+00,0,{}
35115019-4725-4a8a-9398-0eb7a8e55bb8,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-22 00:00:00+00,0,{}
3753d7df-3f10-4609-b50e-579903a7d331,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-29 00:00:00+00,0,{}
3b8f2a00-fca7-46a8-911e-7a907a2253a6,3f12d70d-8b1f-4b2e-9430-a446c6f205c2,2025-10-05 00:00:00+00,0,{}
3e57ddcf-6aaf-485a-95df-9092a91ae054,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-23 00:00:00+00,3.16199994087219,"{""food-drink"":3.162}"
3ed0359f-ba76-480d-9aaf-d1675d1496f9,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-10-05 00:00:00+00,0,{}
4086498e-a3b7-4422-8e07-f3fe48f4620c,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-26 00:00:00+00,0,{}
44972826-ac0c-47a5-a113-d40f4ff7cf39,3f12d70d-8b1f-4b2e-9430-a446c6f205c2,2025-10-04 00:00:00+00,0,{}
4a1c913e-931f-4680-8cb7-25e08a9e3ed7,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-06 00:00:00+00,0,{}
4dba78ef-7676-4d8d-b78c-cdfff55b6b44,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-04 00:00:00+00,0,{}
5020b78c-0d8b-4b24-996a-3f331864be13,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-22 00:00:00+00,0,{}
5030f09b-0838-4752-a88f-6b5b05997276,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-18 00:00:00+00,0,{}
59a54542-fb9d-4b26-b6fa-98de398d69e0,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-02 00:00:00+00,0,{}
5a914eeb-56e5-4142-8b26-c184bfc8da23,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-01 00:00:00+00,0,{}
60531032-d808-404d-86ac-09d91e5155f4,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-16 00:00:00+00,2.52600002288818,"{""energy-home"":2.526}"
64551afe-3772-4cce-bd12-91f1614204db,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-03 00:00:00+00,0,{}
6742ca6c-485e-4a73-b6b0-409b024c6a9c,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-26 00:00:00+00,0,{}
6aea6973-3877-4ec7-9270-edfc16536fc2,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-20 00:00:00+00,0,{}
751cd0e4-8ff9-49ad-ae82-a21a54f44503,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-10-07 00:00:00+00,0,{}
7e571eb0-0b1a-4ccf-b110-d39240dd13c0,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-21 00:00:00+00,0,{}
8332e5e1-3bf2-45b3-ab99-9d5e01834a06,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-15 00:00:00+00,8.85999965667725,"{""energy-home"":8.86}"
86e5f848-632c-46ec-828b-0a2064e45d6b,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-09 00:00:00+00,0,{}
880ec289-c9d3-4f17-8f2b-2474c31a0809,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-21 00:00:00+00,0,{}
8c635ae3-48fb-4642-8da4-06062c76f599,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-19 00:00:00+00,0,{}
8c824dc7-5940-4a50-bf8a-e37033380978,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-30 00:00:00+00,0,{}
8ff285f6-be7a-474c-bb83-2c4e8c29662b,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-28 00:00:00+00,0,{}
91ccc94a-9708-4e2b-9ebf-ddb24f8f1ebc,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-17 00:00:00+00,0,{}
93744f1d-1522-4179-8d2b-65e2dd1d671a,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-23 00:00:00+00,0,{}
aa0fe4cc-7103-40c7-96bb-949e1786ec12,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-14 00:00:00+00,0,{}
aaa93cbb-beaf-404b-ad50-984cb086fa61,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-24 00:00:00+00,0,{}
ae31e899-da4a-4aff-8439-cbb78c277347,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-10-06 00:00:00+00,0,{}
b028d634-88e1-4e5d-961c-dcab6d6458d9,3f12d70d-8b1f-4b2e-9430-a446c6f205c2,2025-10-07 00:00:00+00,0,{}
b39c3bb8-e8e4-4440-ba42-09831cf459bc,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-28 00:00:00+00,2.67023992538452,"{""energy-home"":2.67024}"
