id,user_id,tips_id,views,last_show_date
281378e4-edd9-4fa0-8a3b-10bd210e6e58,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,ba600529-427c-46e4-91c1-2684cb6dcedf,2,2025-10-08 08:53:58.047696
2b1582f4-347d-45e6-a4a8-b99b28b599a9,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,3a9550ca-cb33-43fa-a630-c6f622c2ef64,2,2025-10-08 08:54:36.030344
469c6ea5-dfdb-4c94-8a39-3ebd60591193,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,32c8ed4e-126c-4673-83fa-47b87f959bc2,2,2025-10-08 08:54:01.894113
4b4d4c0c-eb8d-4f2d-8015-f61ecabcc120,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,f8e964f1-1d50-4c5d-9a4c-6e34854d357c,2,2025-10-08 08:53:58.036588
4b88645d-1b80-4d16-903b-cf5f61df3375,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,fc7e4c2e-3994-4293-9ab5-97cb6a1ecbb5,2,2025-10-08 08:54:02.027779
4e8e2173-3379-45a4-bd43-e7689b3cc20b,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,4d65e42b-94db-4b41-9887-39b795663776,1,2025-10-08 08:47:44.485637
590227e9-fbd6-445f-a62d-b42f20608980,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,bf636191-8638-4212-b3fc-89b13d064ce1,2,2025-10-08 08:55:09.678063
59e9ffb7-1fd8-4072-adaa-51098cf9a073,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,e8706be3-3a41-4e81-ac50-be59d969b444,1,2025-10-08 08:30:27.631056
5e619a45-1c35-4aa1-8716-ccd23e6c513a,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,9351a508-7b45-463b-9f43-5368d5fdb6cc,2,2025-10-08 09:00:05.931371
691a9abe-6829-416d-ba25-da0e3ca3c4e1,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,543a56c2-e677-44c4-81dd-0cd5ac376a6b,2,2025-10-08 08:54:36.137025
6f26a13d-bfcf-4b61-933d-5539ce94c0ce,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,9cacd420-2377-4f47-91ed-8e57994b3666,1,2025-10-08 08:36:11.758377
876840b6-383e-4e70-b940-04247d8ebe40,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,6c7c9337-b7c2-435a-860b-a3920fccc518,1,2025-10-08 08:46:56.733251
a7dcf5ba-bce7-493f-9691-455dfa0db1f7,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,19817c0d-4bb0-4753-b0f5-a854de983797,1,2025-10-08 08:45:57.774574
abf66e41-ad7a-48df-9052-24fb728337be,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,6a41f4bc-3d61-4a56-b565-17a0736e526f,1,2025-10-08 08:11:41.808077
c1ac345c-1679-4e6f-8208-b74a2aedd828,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,4ab1ec08-0e22-4a1e-b715-e837c283ba1f,2,2025-10-08 08:51:56.029111
c4353788-1613-4ccf-b452-70fd138c196f,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,1fd84f37-08f7-4757-800d-7e91dcda6d3b,2,2025-10-08 08:51:55.873348
c650b4cf-f2b4-4c6c-afe3-9437dfa4c0f6,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,3fca5858-7fb9-455f-a559-77291679ef43,2,2025-10-08 08:55:11.476858
d9faa302-b3a3-4e9d-a3f2-7d3a1abb2285,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,82490020-116b-4525-aa0e-a171ba7c0bcc,1,2025-10-08 08:22:50.252292
db1547d5-1b00-4589-b682-d888a0092be3,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,f6eb3911-5571-40e6-911b-7a275a5cebca,1,2025-10-08 08:30:27.721256
fca33de3-8fcf-4a8a-9891-f65b90462b5d,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,c7d20249-aaf6-4e70-97af-ec3c088ee882,2,2025-10-08 09:00:06.024607
